Id,Longitude,Latitude,Continent,Basin_id,Cell_locat,evapproxy,premin,premax,salmin,salmax,minairtemp,maxairtemp,minsst,maxsst,minsoilmoist,maxsoilmoist,stddev_elevdepth,Min_czcs,Max_czcs,runoffnew,Wave_heigh,Tideformproxy
string,numeric,numeric,string,enum,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
36313,132.5,-10.5,Australia,771,-1,11939.9,2.4,350,3423,3448,287,301.5,299953,302817,0.09,6.39,1872.04,0.2,0.51,167,1,6
36323,142.5,-10.5,Australia,0,-1,10951.2,8,350,3384,3487,290,301.2,298990,302280,1.6,0,396.521,0.49,0.8,0,2,4.5
36671,130.5,-11.5,Australia,770,1,11933.3,3,450,3432,3483,289,301,300103,303326,0,1,1512.01,0.56,1.25,0,1,8
36672,131.5,-11.5,Australia,770,1,12687,2.57,378.57,3427,3467,286,302,300053,303122,0,7,646.047,0.49,1.65,0,1,8
36673,132.5,-11.5,Australia,771,1,11585.1,3,350,3418,3459,288,301,299936,302890,0,5,754.002,0.66,1.53,300,1,6
36674,133.5,-11.5,Australia,771,1,11640.5,2.25,375,3392,3472,287,302,299746,302767,0,9,911.529,0.56,0.75,0,1,6
36675,134.5,-11.5,Australia,0,-1,11983,3,435.71,3386,3481,288.1,302.3,299697,302750,0.06,0,58.8134,0.6,0.82,0,1,6
36676,135.5,-11.5,Australia,0,-1,12830.5,3.71,435.71,3354,3483,288.9,302.4,299530,302733,0,0,733.104,0.61,0.82,0,1,6
36677,136.5,-11.5,Australia,771,1,12696.5,3,450,3349,3480,289,302,299402,302775,0,9,731.905,0.64,0.97,0,1,4.5
36682,141.5,-11.5,Australia,0,-1,12730.1,6.33,350,3369,3467,289.9,301.4,299473,302847,2,0,2851.74,0.32,0.68,0,2,4.5
36683,142.5,-11.5,Australia,783,1,11259.8,8,350,3378,3482,290,301,299099,302422,1,14,661.522,0.41,1.11,0,2,4.5
36684,143.5,-11.5,Australia,0,-1,11633.6,8,350,3400,3505,289.9,301.4,298653,301970,2,0,2646.32,0.31,0.5,0,2,4.5
37031,130.5,-12.5,Australia,0,-1,13357.9,2.77,411.54,3430,3485,285.7,302,300153,303427,0.06,0,677.418,0.85,1.54,0,1,8
37032,131.5,-12.5,Australia,771,1,13281.3,3,350,3432,3483,285,302,300103,303326,0,10,1853.16,1.48,2.5,300,1,8
37033,132.5,-12.5,Australia,771,2,12742.1,0,350,3415,3471,285,302,299951,303016,1,12,2345.57,-9999,2.43,300,1,6
37035,134.5,-12.5,Australia,771,1,12336.9,3,450,3366,3480,288,303,299518,302771,0,13,1358.36,1.27,1.95,300,1,6
37036,135.5,-12.5,Australia,771,1,12436.4,3,450,3341,3478,290,302,299227,302826,0,6,800.45,1.04,1.68,150,1,6
37037,136.5,-12.5,Australia,771,1,13096.3,4.43,421.43,3317,3473,288,303,298886,302907,0,8,28.967,0.5,0.91,0,2,4.5
37042,141.5,-12.5,Australia,0,-1,13226.9,5.22,350,3346,3449,289.5,301.8,299713,303057,2.42,0,2734.71,0.63,0.86,0,2,4.5
37043,142.5,-12.5,Australia,783,1,12100.6,8,350,3367,3475,290,302,299193,302556,4,13,1241.48,-9999,1.91,600,2,4.5
37044,143.5,-12.5,Australia,0,-1,12594,7,330,3386,3500,289.5,301.8,298600,301867,2.35,0,3427.91,0.3,0.47,0,2,4.5
37386,125.5,-13.5,Australia,772,-1,11875.9,0,335.71,3465,3484,284.1,302.8,300083,302460,0,2.9,2496.7,0.29,0.71,82,1,8
37387,126.5,-13.5,Australia,0,-1,12040.1,0,350,3473,3491,284.3,303.3,300147,302677,0,0,1625.46,0.42,1.25,0,1,10
37388,127.5,-13.5,Australia,772,-1,11986.5,0,350,3479,3498,284,303.3,300147,302860,0,2.6,4411.86,0.27,0.85,138,1,10
37390,129.5,-13.5,Australia,0,-1,13803.7,1.33,438.89,3449,3506,282.6,303.1,300003,303327,0,0,1996.64,0.28,1.17,0,1,10
37391,130.5,-13.5,Australia,771,1,12587.3,3,450,3444,3497,283,303,300051,303361,0,9,2988.15,0.69,2.21,0,1,10
37396,135.5,-13.5,Australia,771,1,13342.3,8,350,3308,3471,289,303,298652,302973,0,8,2015,-9999,-9999,150,2,4.5
37397,136.5,-13.5,Australia,0,-1,13467.4,5.22,361.11,3292,3466,288.4,302.9,298593,302970,0,0,492.279,0.51,0.66,0,2,4.5
37402,141.5,-13.5,Australia,0,-1,14095,3,350,3340,3453,289,302,299713,303057,2,11,2948.66,0.93,1.3,0,2,4.5
37404,143.5,-13.5,Australia,783,1,13287.5,5.22,283.33,3368,3490,289,302,298846,302295,2,13,2927.28,0.39,0.59,0,2,4.5
37746,125.5,-14.5,Australia,772,1,12835.6,0,350,3469,3488,285,302,300109,302571,0,3,1675.19,0.51,0.99,0,1,8
37747,126.5,-14.5,Australia,772,1,11237.9,0,350,3475,3493,284,304,300092,302728,0,6,3082.77,1,2.12,300,1,10
37748,127.5,-14.5,Australia,772,1,11774.5,0,350,3479,3502,284,303,300007,302951,0,4,3657.67,0.35,2.08,300,1,10
37749,128.5,-14.5,Australia,0,-1,12056.1,0,376.67,3492,3513,282,303.8,299783,303203,0,0,2656.75,1.09,3.39,0,1,10
37750,129.5,-14.5,Australia,771,1,13763.8,0,450,3468,3507,283,303,299936,303245,0,6,1607.98,1.3,3.83,150,1,10
37756,135.5,-14.5,Australia,771,1,13022.4,3,350,3295,3472,287,303,298205,303100,0,8,44.7804,0.87,1.13,75,2,4.5
37757,136.5,-14.5,Australia,0,-1,13552.6,3.83,300,3288,3471,287.1,303.3,298123,303127,0,0,142.438,0.61,0.81,0,2,4.5
37762,141.5,-14.5,Australia,0,-1,14931.8,3,350,3328,3465,288,302,299170,303320,1,11,3496.37,1.06,1.45,0,2,4.5
37764,143.5,-14.5,Australia,783,1,14454.1,3,250,3336,3494,289,302,298625,302636,2,13,2824.52,0.27,2.66,300,2,4.5
37765,144.5,-14.5,Australia,783,1,13036.8,8,250,3330,3531,290,301,298051,302093,0,6,2315.61,0.38,1.19,300,2,4.5
37766,145.5,-14.5,Australia,783,-1,11771.2,18.33,250,3338,3537,289.5,301.1,298047,302103,0.68,5.13,4383.28,0.12,0.29,210,2,4.5
38105,124.5,-15.5,Australia,772,1,12493.2,3,250,3466,3486,285,302,299923,302160,0,3,1504.43,0.6,1.1,0,1,8
38106,125.5,-15.5,Australia,772,1,8103.65,0,250,3469,3487,281,304,300111,302556,0,7,3672.19,0.2,2.2,300,1,8
38109,128.5,-15.5,Australia,773,1,11446.9,0,350,3484,3510,280,305,299866,303172,0,6,3253.56,-9999,11.37,300,1,10
38110,129.5,-15.5,Australia,778,1,11681.4,0,350,3478,3511,279,305,299856,303244,0,8,3019.06,-9999,1.97,150,1,10
38116,135.5,-15.5,Australia,774,1,12618.3,3,250,3300,3475,285,305,298137,303122,0,10,1214,0.41,1.69,75,2,4.5
38117,136.5,-15.5,Australia,0,-1,12739.2,3,250,3304,3476,287,303,298123,303127,0,5,45.6672,0.82,1.03,75,2,4.5
38118,137.5,-15.5,Australia,0,-1,11843.8,3,250,3314,3483,285.4,303.7,297853,303217,0,0,56.5254,0.35,0.72,0,2,4.5
38122,141.5,-15.5,Australia,0,-1,13909.8,3,250,3319,3473,286,303,298393,303463,1,9,2016.49,1.22,1.79,0,2,4.5
38126,145.5,-15.5,Australia,0,-1,8935.54,55.86,235.71,3292,3531,288.4,300.5,297840,302163,0.85,0,3447.69,0.17,0.41,0,2,4.5
38463,122.5,-16.5,Australia,0,-1,14091,0.38,162.5,3467,3488,280.9,305,299763,301860,0,0,4169.77,0.5,1.02,0,1,8
38464,123.5,-16.5,Australia,772,1,13086.4,1.5,200,3467,3488,281,305,299763,301860,0,4,792.547,0.9,1.72,0,1,8
38465,124.5,-16.5,Australia,772,1,10489.2,3,250,3467,3488,282,303,299763,301860,0,4,3075.27,0.49,1.85,25,1,8
38478,137.5,-16.5,Australia,777,1,11431.4,3,250,3315,3484,284,304,297739,303359,0,6,1963.89,0.39,1.32,25,2,4.5
38479,138.5,-16.5,Australia,0,-1,11251.8,3,250,3326,3492,281.6,304.5,297357,303663,0,0,55.5558,0.72,1.54,0,2,4.5
38480,139.5,-16.5,Australia,0,1,11374.1,2.25,225,3316,3485,280,305,297516,303636,0,7,573.146,0.75,2.16,0,2,4.5
38481,140.5,-16.5,Australia,0,-1,12046.9,2,216.67,3308,3480,281.5,304.4,297460,303697,0.4,0,1560.65,0.87,2.75,0,2,4.5
38482,141.5,-16.5,Australia,775,1,12387,3,250,3315,3477,283,304,297955,303578,1,8,1441.41,1.86,3.37,0,2,4.5
38486,145.5,-16.5,Australia,783,1,8837.52,75,250,3311,3533,288,300,297679,302145,1,8,3279,0.18,0.58,600,2,4.5
38823,122.5,-17.5,Australia,776,1,13007,0,150,3476,3502,282,305,299415,301881,0,3,3167.52,0.83,1.3,0,1,8
38824,123.5,-17.5,Australia,772,1,12502.6,0,150,3474,3500,280,306,299465,301878,0,4,1555.49,-9999,-9999,25,1,8
38840,139.5,-17.5,Australia,781,1,11425.4,3,250,3316,3485,280,305,297434,303688,0,5,41.6402,1.08,2.73,25,2,4.5
38841,140.5,-17.5,Australia,0,-1,11573.5,0,150,3314,3484,280,305,297460,303697,0,4,40.2619,1.22,3.33,25,2,4.5
38846,145.5,-17.5,Australia,783,1,5339.44,75,150,3324,3534,287,300,297380,302140,1,9,4016.32,-9999,0.16,600,2,4.5
38847,146.5,-17.5,Australia,0,-1,6295.1,66.86,178.57,3321,3538,286.7,300.5,297397,302130,0.9,0,3850.59,0.17,0.35,0,2,4.5
39182,121.5,-18.5,Australia,0,-1,12431.2,0,150,3493,3529,277.6,307.3,298720,301923,0,0,3481.27,0.42,0.65,0,1,6
39183,122.5,-18.5,Australia,776,1,10899.4,0,150,3490,3524,277,308,298862,301914,0,4,3618.4,0.73,1.86,25,1,8
39207,146.5,-18.5,Australia,0,-1,7125.38,32.25,150,3347,3529,284.5,301.4,297117,302147,0.77,0,1504.85,0.28,0.5,0,3,4.5
39540,119.5,-19.5,Australia,788,-1,9879.24,0,85.71,3502,3536,277.4,309.1,298350,302033,0,1.11,622.136,0.44,1.44,16,1,6
39541,120.5,-19.5,Australia,0,-1,11587.8,0,125,3507,3545,276.3,308.5,298443,301940,0,0,2598.02,0.41,1.93,0,1,6
39542,121.5,-19.5,Australia,796,1,11347.8,0,150,3500,3537,276,308,298556,301943,0,4,2184.66,0.59,2.19,25,1,6
39567,146.5,-19.5,Australia,785,1,8058.16,18,150,3366,3533,283,302,297051,302078,1,12,3704.3,0.13,0.92,150,3,4.5
39568,147.5,-19.5,Australia,785,1,9780,18,150,3435,3539,285,302,296655,301865,0,8,2212.72,0.09,0.67,600,3,4.5
39569,148.5,-19.5,Australia,0,-1,7634.8,18,150,3489,3542,283.9,302.4,296440,301750,0.56,0,1919.59,0.15,0.33,0,3,4.5
39896,115.5,-20.5,Australia,0,-1,9406.88,0,50.33,3499,3510,279,308.4,297400,301593,0,0,2814.96,0.62,1.63,0,1,6
39897,116.5,-20.5,Australia,0,-1,10196.8,0,64.43,3493,3510,278.1,309.1,297650,301727,0,0,1999.53,0.69,2.13,0,1,6
39898,117.5,-20.5,Australia,0,-1,10215.1,0,75,3494,3518,278.1,308.8,297743,301707,0,0,1979.76,0.57,1.71,0,1,6
39899,118.5,-20.5,Australia,787,1,9752.7,0,75,3497,3524,279,308,297958,301817,0,1,1780.56,1.28,3.33,25,1,6
39900,119.5,-20.5,Australia,788,1,9021.66,0,75,3502,3536,277,310,298290,301960,0,2,2668.34,2,3.26,25,1,6
39929,148.5,-20.5,Australia,793,1,8109.8,18,150,3497,3545,283,303,295925,301539,1,12,2835.64,0.28,0.65,0,3,6
39930,149.5,-20.5,Australia,0,-1,6997.81,38,75,3503,3547,283,302.5,295830,301473,0.76,0,1519.13,0.29,0.63,0,3,6
40254,113.5,-21.5,Australia,799,-1,10064.4,0,38,3506,3513,280.7,306.7,296720,300517,0,1.58,5386.75,0.11,0.22,25,2,6
40255,114.5,-21.5,Australia,791,-1,9495.06,0,42.11,3503,3512,280.1,307.3,296907,300937,0,1.53,3538.58,1.01,1.89,20,2,6
40256,115.5,-21.5,Australia,0,-1,9793.3,0,38,3500,3509,280,308,297400,301593,0,2,2257.18,2.25,4.97,25,1,6
40257,116.5,-21.5,Australia,794,1,5756.09,0,75,3497,3511,277,310,297492,301601,0,2,3723.66,3.53,7.8,25,1,6
40290,149.5,-21.5,Australia,0,-1,7259.07,38,75,3503,3546,283.5,302,295087,301247,0.77,0,1911.22,0.46,0.86,0,3,6
40614,113.5,-22.5,Australia,799,-1,9887.49,0.6,34,3515,3523,281.4,305.6,296280,299937,0,1.83,4636.16,0.19,0.42,20,2,6
40615,114.5,-22.5,Australia,799,1,9780.6,0,38,3508,3516,281,306,296654,300498,0,2,1782.49,3.49,5.5,25,2,6
40650,149.5,-22.5,Australia,793,1,7010.4,38,75,3507,3548,283,302,295204,301241,1,11,3338.16,0.26,2.36,75,3,8
40651,150.5,-22.5,Australia,793,1,8198.12,38,75,3514,3550,285,301,295178,301150,0,6,2148.78,0.53,1,75,3,8
40974,113.5,-23.5,Australia,799,-1,10287.3,2,24.67,3517,3526,282,304.3,295783,299187,0,1.59,3381.66,0.22,0.55,7,2,4.5
41011,150.5,-23.5,Australia,798,1,7187.04,38,75,3522,3552,282,302,295076,300957,1,12,3161.28,0.18,1.43,75,3,8
