# Title: Number of Births,,
# Timeframe: 2010,,
# Notes: See http://kff.org/other/state-indicator/number-of-births/ for notes and sources.,,
Location,Number of Births
string,numeric
United States,3999386
Alabama,60050
Alaska,11471
Arizona,87477
Arkansas,38540
California,510198
Colorado,66355
Connecticut,37708
Delaware,11364
District of Columbia,9165
Florida,214590
Georgia,133947
Hawaii,18988
Idaho,23198
Illinois,165200
Indiana,83940
Iowa,38719
Kansas,40649
Kentucky,55784
Louisiana,62379
Maine,12970
Maryland,73801
Massachusetts,72865
Michigan,114531
Minnesota,68610
Mississippi,40036
Missouri,76759
Montana,12060
Nebraska,25918
Nevada,35934
New Hampshire,12874
New Jersey,106922
New Mexico,27850
New York,244375
North Carolina,122350
North Dakota,9104
Ohio,139128
Oklahoma,53238
Oregon,45540
Pennsylvania,143321
Rhode Island,11177
South Carolina,58342
South Dakota,11811
Tennessee,79495
Texas,386118
Utah,52258
Vermont,6223
Virginia,103002
Washington,86539
West Virginia,20470
Wisconsin,68487
Wyoming,7556
Guam,3416
Puerto Rico,42153
Virgin Islands,1600
