X0,Y
numeric,numeric
0.7236,2.4275
0.5807,2.3386
0.1229,1.4442
0.4115,2.2227
0.9684,2.9695
0.4728,2.1713
0.0312,1.2330
0.7044,2.3956
0.7069,2.5637
0.5147,2.2832
0.1717,1.3969
0.1125,1.1706
0.2937,2.0570
0.4430,1.6627
0.3441,1.3903
0.0469,0.6409
0.9576,2.5630
0.2034,1.2880
0.4799,2.3917
0.0328,1.0333
0.1857,1.2838
0.3350,1.7332
0.9124,2.9623
0.0290,1.4893
0.5327,2.2371
0.1965,1.4197
0.8762,2.9341
0.1545,1.6316
0.3615,1.6747
0.0186,1.1171
0.1994,1.4394
0.8351,3.1262
0.8824,2.9918
0.8947,2.8293
0.6691,2.3975
0.1981,0.8802
0.5644,2.1249
0.2888,1.9151
0.4389,1.4527
0.2472,1.1672
0.3306,1.4906
0.4934,1.6108
0.2879,1.4797
0.7918,2.2451
0.9259,2.3226
0.5625,2.0282
0.7210,1.8879
0.2697,1.3059
0.4597,2.3494
0.1087,0.8527
0.2623,2.0171
0.6510,2.4498
0.8561,2.2825
0.6952,2.7084
0.6749,1.8453
0.2889,1.6520
0.7900,2.3569
0.0764,1.0866
0.3809,1.4566
0.7689,2.4252
0.3763,1.4038
0.2612,2.0651
0.3550,1.2050
0.7203,2.2683
0.7733,2.6919
0.9056,2.6825
0.4421,1.5587
0.0186,1.4279
0.3643,1.5964
0.7462,2.5678
0.8470,2.3592
0.8075,2.7697
0.2929,1.2576
0.1408,0.7632
0.7995,2.7136
0.3774,1.9750
0.9330,3.0252
0.4981,1.6695
0.8219,3.0320
0.3574,1.8609
0.3895,2.2614
0.0893,1.2029
0.3134,1.8920
0.5452,1.8285
0.3231,1.7221
0.0559,1.2651
0.6656,2.5423
0.9418,3.1760
0.2792,1.4645
0.9209,3.1015
0.7169,2.6663
0.2164,1.7804
0.3784,1.2678
0.7399,2.6274
0.7814,2.7832
0.8720,3.0460
0.9741,2.7513
0.5983,2.6665
0.5159,2.4205
0.8151,2.3393
