Pitcher,PitcherID,Batter,BatterID,hitside,game_id,ab_id,pitch_id,des,result,pitch_type,called,start_speed,end_speed,sz_top,sz_bot,xmove,zmove,break_length,xend,zend,yend,xstart,ystart,zstart,xvel,yvel,zvel,xacc,yacc,zacc
string,numeric,string,numeric,string,numeric,numeric,numeric,string,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Felix Hernandez,433587,Kole Calhoun,594777,L,18944,1441841,5459894,Ball,Kole Calhoun singles on a line drive to center fielder Abraham Almonte.  ,SI,B,91.9,84.1,3.17,1.47,-8.27,5.46,6.1,-0.538,1.592,0,-2.185,50,5.838,7.189,-134.377,-7.018,-14.988,31.632,-22.21
Felix Hernandez,433587,Kole Calhoun,594777,L,18944,1441841,5459895,Ball,Kole Calhoun singles on a line drive to center fielder Abraham Almonte.  ,SI,B,92.2,83.6,3.17,1.53,-9.01,7.56,5.6,-1.533,2.603,0,-2.147,50,5.885,4.71,-134.976,-5.197,-16.323,34.375,-18.408
Felix Hernandez,433587,Kole Calhoun,594777,L,18944,1441841,5459896,"In play, no out",Kole Calhoun singles on a line drive to center fielder Abraham Almonte.  ,SI,X,92.6,83.6,3.17,1.53,-8.63,6.64,5.7,-0.827,2.77,0,-2.073,50,5.929,6.265,-135.657,-4.598,-15.698,36.373,-20.031
Felix Hernandez,433587,David Freese,501896,R,18944,1441845,5459908,Ball,"David Freese grounds out, shortstop Brad Miller to first baseman Justin Smoak.  ",SI,B,93.6,85.2,3.61,1.62,-11.35,4.54,7,-1.21,1.86,0,-1.831,50,5.965,5.618,-137.05,-6.63,-21.214,35.25,-23.61
Felix Hernandez,433587,David Freese,501896,R,18944,1441845,5459909,Foul,"David Freese grounds out, shortstop Brad Miller to first baseman Justin Smoak.  ",SI,S,90.1,82.4,3.61,1.62,-8.58,3.77,7,-0.369,1.77,0,-1.924,50,5.938,6.906,-131.832,-5.863,-14.914,31.18,-25.537
Felix Hernandez,433587,David Freese,501896,R,18944,1441845,5459910,"In play, out(s)","David Freese grounds out, shortstop Brad Miller to first baseman Justin Smoak.  ",SL,X,86.9,80.6,3.61,1.62,1.08,-0.29,8.3,0.388,2.031,0,-2.074,50,6.004,5.833,-127.294,-3.498,1.767,26.345,-32.581
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441865,5459961,Swinging Strike,Raul Ibanez strikes out on a foul tip.  ,SI,S,88.7,81.7,3.45,1.68,-8.57,3.54,7.3,-0.429,0.949,0,-1.911,50,5.813,6.632,-129.79,-7.325,-14.53,28.713,-26.103
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441865,5459962,Foul,Raul Ibanez strikes out on a foul tip.  ,FF,S,91.6,83.6,3.45,1.68,-5.19,8.03,4.5,0.02,3.438,0,-1.817,50,5.996,6.621,-134.07,-3.406,-9.368,31.324,-17.619
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441865,5459963,Ball,Raul Ibanez strikes out on a foul tip.  ,SL,B,86.3,79.2,3.45,1.68,0.31,-0.63,8.6,1.614,2.014,0,-1.826,50,5.963,8.428,-126.257,-3.117,0.493,28.813,-33.099
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441865,5459964,Ball In Dirt,Raul Ibanez strikes out on a foul tip.  ,FF,B,89.9,83.3,3.45,1.68,-5.33,3.76,6.7,0.417,-0.157,0,-1.755,50,5.726,7.416,-131.293,-10.307,-9.284,28.246,-25.546
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441865,5459965,Foul Tip,Raul Ibanez strikes out on a foul tip.  ,FF,S,89.8,83.3,3.45,1.68,-5.48,2.3,7.1,0.199,1.012,0,-1.738,50,5.853,6.875,-131.394,-7.16,-9.588,27.423,-28.069
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441885,5460050,Swinging Strike,Raul Ibanez called out on strikes.  ,CU,S,81.6,75,3.45,1.68,6.72,-7.55,12.7,0.723,1.673,0,-2.002,50,6.201,4.344,-119.554,-1.458,9.535,27.153,-42.823
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441885,5460052,Ball,Raul Ibanez called out on strikes.  ,CU,B,81.9,75.5,3.45,1.68,7.66,-5.63,12.1,1.668,0.908,0,-1.822,50,6.042,5.862,-119.869,-3.507,10.938,27.265,-40.129
