Pitcher,PitcherID,Batter,BatterID,hitside,game_id,ab_id,pitch_id,des,result,event,pitch_type,called,start_speed,end_speed,sz_top,sz_bot,sz_left,sz_right,sz_back,sz_front,xmove,zmove,break_length,xend,zend,yend,xstart,ystart,zstart,xvel,yvel,zvel,xacc,yacc,zacc
string,numeric,string,numeric,string,numeric,numeric,numeric,string,string,string,enum,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479347,5603485,Called Strike,Scott Hairston singles on a line drive to left fielder Carl Crawford.  ,Single,FF,S,91.9,83.3,3.24,1.47,-1,1,0,1,0.81,10.76,3.4,-0.162,2.11,0,1.539,50,6.079,-4.759,-134.522,-8.035,1.462,34.391,-12.757
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479347,5603486,Ball,Scott Hairston singles on a line drive to left fielder Carl Crawford.  ,Single,SL,B,88.5,81.2,3.24,1.47,-1,1,0,1,-3.17,4.99,6.6,-1.217,0.202,0,1.629,50,6.032,-6.181,-129.313,-10.105,-5.284,30.684,-23.782
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479347,5603487,Swinging Strike,Scott Hairston singles on a line drive to left fielder Carl Crawford.  ,Single,SL,S,86,78.7,3.24,1.47,-1,1,0,1,-2.54,1.15,8.2,-0.683,1.674,0,1.658,50,6.084,-4.966,-125.965,-4.755,-4.015,29.718,-30.289
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479347,5603488,"In play, no out",Scott Hairston singles on a line drive to left fielder Carl Crawford.  ,Single,SL,X,86.1,79,3.24,1.47,-1,1,0,1,-4.26,0.79,8.3,-0.667,2.28,0,1.571,50,6.282,-4.177,-126.209,-3.693,-6.784,28.887,-30.846
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479348,5603489,Ball,Ian Desmond flies out to right fielder Andre Ethier in foul territory.  ,Flyout,FF,B,92.7,85.1,3.4,1.51,-1,1,0,1,0.96,11.35,2.6,-0.443,3.981,0,1.348,50,6.235,-5.132,-135.765,-3.989,1.797,30.366,-10.968
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479348,5603490,Ball,Ian Desmond flies out to right fielder Andre Ethier in foul territory.  ,Flyout,SL,B,89.1,82.4,3.32,1.52,-1,1,0,1,-2.61,5.48,5.9,-0.115,1.189,0,1.577,50,6.072,-3.481,-130.419,-8.15,-4.48,28.085,-22.692
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479348,5603491,Ball,Ian Desmond flies out to right fielder Andre Ethier in foul territory.  ,Flyout,FF,B,93.8,85.1,3.4,1.51,-1,1,0,1,2.49,11.13,3.1,0.55,1.784,0,1.326,50,5.965,-2.956,-137.27,-9.158,4.675,35.455,-11.24
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479348,5603492,Called Strike,Ian Desmond flies out to right fielder Andre Ethier in foul territory.  ,Flyout,FF,S,93.5,84.9,3.47,1.59,-1,1,0,1,-1.41,11.24,2.9,0.231,3.027,0,1.436,50,6.129,-2.747,-136.987,-6.267,-2.626,34.903,-11.099
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479348,5603493,"In play, out(s)",Ian Desmond flies out to right fielder Andre Ethier in foul territory.  ,Flyout,FF,X,93.2,84.6,3.4,1.51,-1,1,0,1,1.75,12.5,2.4,0.177,3.04,0,1.411,50,6.108,-3.912,-136.469,-6.552,3.257,34.4,-8.887
Clayton Kershaw,477132,Danny Espinosa,457787,R,19440,1479349,5603494,"In play, out(s)","Danny Espinosa grounds into a double play, third baseman Juan Uribe to second baseman Dee Gordon to first baseman Scott Van Slyke.   Scott Hairston out at 2nd.  ",Grounded Into DP,FF,X,93,84.4,3.68,1.72,-1,1,0,1,-0.5,11.72,2.8,0.117,2.286,0,1.365,50,6.061,-3.158,-136.167,-8.11,-0.918,34.821,-10.481
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479361,5603537,Called Strike,Denard Span grounds out to first baseman Scott Van Slyke.  ,Groundout,FF,S,92.7,84.7,3.13,1.47,-1,1,0,1,-0.46,11.23,3,0.213,2.274,0,1.636,50,6.104,-3.634,-135.619,-8.08,-0.857,32.242,-11.386
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479361,5603538,Foul,Denard Span grounds out to first baseman Scott Van Slyke.  ,Groundout,FF,S,92.7,85.1,3.34,1.54,-1,1,0,1,-0.67,10.89,3.1,-0.442,1.805,0,1.502,50,6.082,-4.959,-135.627,-9.201,-1.249,31.061,-11.91
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479361,5603539,Ball,Denard Span grounds out to first baseman Scott Van Slyke.  ,Groundout,CU,B,74.7,69.2,3.28,1.47,-1,1,0,1,-4.65,-8.02,14.5,-0.266,0.362,0,1.542,50,6.291,-2.585,-109.545,-3.002,-5.533,23.078,-41.638
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479361,5603540,Foul,Denard Span grounds out to first baseman Scott Van Slyke.  ,Groundout,FF,S,93.8,85.9,3.34,1.54,-1,1,0,1,-2.26,10.02,3.4,-0.647,2.499,0,1.495,50,6.037,-4.995,-137.263,-7.133,-4.282,32.399,-13.118
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479361,5603541,"In play, out(s)",Denard Span grounds out to first baseman Scott Van Slyke.  ,Groundout,SL,X,88.2,81.2,3.34,1.54,-1,1,0,1,-1.69,6.71,5.4,-0.275,2.366,0,1.738,50,6.131,-4.567,-129.236,-5.505,-2.85,28.012,-20.795
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479362,5603542,Called Strike,Anthony Rendon strikes out swinging.  ,Strikeout,FF,S,94,85.8,3.25,1.36,-1,1,0,1,1.56,13.01,2.2,-0.395,1.468,0,1.509,50,5.947,-5.688,-137.298,-10.702,2.955,33.148,-7.501
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479362,5603543,Foul,Anthony Rendon strikes out swinging.  ,Strikeout,FF,S,94.2,85.8,3.31,1.48,-1,1,0,1,0.93,11.33,2.6,-0.031,3.087,0,1.567,50,6.08,-4.653,-137.934,-6.166,1.762,34.104,-10.537
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479362,5603544,Swinging Strike,Anthony Rendon strikes out swinging.  ,Strikeout,SL,S,87.8,80.8,3.31,1.48,-1,1,0,1,-3.93,1.55,7.9,-1.055,0.54,0,1.579,50,5.951,-5.354,-128.359,-7.777,-6.479,29.761,-29.544
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479363,5603545,Called Strike,Jayson Werth singles on a ground ball to center fielder Matt Kemp.  ,Single,FF,S,93.4,85.8,3.54,1.68,-1,1,0,1,-0.57,11.92,2.5,-0.584,2.095,0,1.544,50,5.983,-5.534,-136.665,-8.687,-1.075,31.056,-9.636
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479363,5603546,Foul,Jayson Werth singles on a ground ball to center fielder Matt Kemp.  ,Single,CU,S,74.4,68.7,3.64,1.68,-1,1,0,1,-2.54,-10.45,15.3,0.168,1.654,0,1.425,50,6.382,-1.987,-109.151,0.287,-3.009,22.452,-44.479
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479363,5603547,"In play, no out",Jayson Werth singles on a ground ball to center fielder Matt Kemp.  ,Single,FF,X,94.4,85.9,3.64,1.68,-1,1,0,1,-0.56,11.51,2.6,0.45,2.123,0,1.616,50,5.937,-2.968,-138.223,-8.479,-1.063,34.788,-10.142
Clayton Kershaw,477132,Adam LaRoche,425560,L,19440,1479364,5603548,"In play, out(s)",Adam LaRoche flies out to left fielder Carl Crawford.  ,Flyout,FF,X,93.6,85,3.73,1.72,-1,1,0,1,-1.1,10.73,3,-0.152,3.165,0,1.378,50,6.129,-3.729,-137.077,-5.738,-2.064,34.653,-12
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479368,5603561,Called Strike,Jose Lobaton strikes out swinging.  ,Strikeout,FF,S,93.7,85.3,3.4,1.55,-1,1,0,1,-0.41,11.76,2.7,-0.287,1.753,0,1.507,50,6.027,-4.678,-136.967,-9.615,-0.765,34.268,-10.077
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479368,5603562,Called Strike,Jose Lobaton strikes out swinging.  ,Strikeout,CU,S,73.4,67.1,3.32,1.57,-1,1,0,1,-5.17,-10.68,15.8,0.208,2.45,0,1.456,50,6.586,-1.216,-107.588,1.856,-5.896,23.336,-44.283
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479368,5603563,Foul,Jose Lobaton strikes out swinging.  ,Strikeout,FF,S,93.4,85.5,3.4,1.57,-1,1,0,1,0.62,11.61,2.8,0.271,1.256,0,1.567,50,5.864,-3.698,-136.474,-10.454,1.152,31.976,-10.346
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479368,5603564,Ball,Jose Lobaton strikes out swinging.  ,Strikeout,SL,B,88.9,81.3,3.4,1.63,-1,1,0,1,-3.27,5.14,6.4,1.075,0.124,0,1.947,50,5.922,-1.144,-129.954,-10.171,-5.5,31.412,-23.458
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479368,5603565,Swinging Strike,Jose Lobaton strikes out swinging.  ,Strikeout,CU,S,74.8,68.4,3.4,1.57,-1,1,0,1,-5.27,-9.58,15,0.199,2.095,0,1.422,50,6.413,-1.16,-109.765,0.898,-6.251,24.494,-43.456
Clayton Kershaw,477132,Blake Treinen,595014,R,19440,1479369,5603566,Called Strike,Blake Treinen strikes out swinging.  ,Strikeout,FF,S,92.7,85,3.77,1.63,-1,1,0,1,-2.85,11.22,3.2,-0.654,2.454,0,1.473,50,5.965,-4.697,-135.724,-7.272,-5.277,31.399,-11.291
Clayton Kershaw,477132,Blake Treinen,595014,R,19440,1479369,5603567,Called Strike,Blake Treinen strikes out swinging.  ,Strikeout,FF,S,93.8,85.8,3.74,1.74,-1,1,0,1,-0.81,11.57,2.8,-0.649,1.644,0,1.444,50,5.981,-5.361,-137.104,-9.794,-1.535,32.741,-10.269
Clayton Kershaw,477132,Blake Treinen,595014,R,19440,1479369,5603568,Swinging Strike,Blake Treinen strikes out swinging.  ,Strikeout,FF,S,94.3,85.8,4.19,1.87,-1,1,0,1,1.47,10.69,2.9,-0.475,2.565,0,1.532,50,6.045,-5.951,-137.977,-7.253,2.798,34.548,-11.763
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479370,5603569,Foul,Denard Span lines out to left fielder Carl Crawford.  ,Lineout,FF,S,93.8,86,3.34,1.54,-1,1,0,1,-1.84,10.66,3.2,-0.687,1.901,0,1.521,50,5.937,-5.319,-137.167,-8.693,-3.488,32.124,-11.922
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479370,5603570,Ball,Denard Span lines out to left fielder Carl Crawford.  ,Lineout,CU,B,75.1,69.2,3.29,1.54,-1,1,0,1,-3.84,-10.18,15.4,-0.754,0.276,0,1.357,50,6.255,-3.466,-110.056,-2.54,-4.576,24.555,-44.239
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479370,5603571,Ball,Denard Span lines out to left fielder Carl Crawford.  ,Lineout,FF,B,94,84.8,3.34,1.54,-1,1,0,1,-0.53,12.72,2.1,-0.094,3.693,0,1.66,50,6.134,-4.541,-137.693,-5.056,-0.996,36.663,-8.196
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479370,5603572,"In play, out(s)",Denard Span lines out to left fielder Carl Crawford.  ,Lineout,FF,X,94.4,85.3,3.34,1.54,-1,1,0,1,-0.26,11.23,2.9,-0.17,1.807,0,1.613,50,5.929,-4.721,-138.07,-9.106,-0.497,37.229,-10.915
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479379,5603602,Called Strike,Anthony Rendon singles on a line drive to left fielder Carl Crawford.  ,Single,FF,S,91.7,84,3.17,1.48,-1,1,0,1,1.07,11.41,3.1,-0.886,1.713,0,1.533,50,6.028,-6.749,-133.955,-9.202,1.938,30.623,-11.491
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479379,5603603,"In play, no out",Anthony Rendon singles on a line drive to left fielder Carl Crawford.  ,Single,FF,X,92,84.5,3.31,1.48,-1,1,0,1,2.39,11.53,2.8,-0.859,2.749,0,1.602,50,6.077,-7.359,-134.5,-6.761,4.382,29.492,-11.002
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479380,5603604,Called Strike,Jayson Werth singles on a line drive to right fielder Andre Ethier.  ,Single,SL,S,85.7,79.1,3.47,1.67,-1,1,0,1,-4.03,3.52,7.1,0.288,2.843,0,1.651,50,6.286,-2.084,-125.677,-3.191,-6.422,26.086,-26.485
