type,galaxyID,timeStep,age(GYr),redshift(z),camera,filter,px(pixels),errpx(pixels),py(pixels),errpy(pixels),mag,errmag,rad(pixels),errrad(pixels),rad(kpc),errrad(kpc),sersicIndex(n),errsersicIndex(n),b/a,errb/a,angle(deg),errangle(deg),sky
enum,enum,numeric,numeric,numeric,numeric,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
central,VELA28,200,1.558,4.0,0,F160W,299.8439,0.0254,300.1331,0.0231,22.3782,0.0030,17.5238,0.0574,834.84084152,2.73455896,1.5427,0.0048,0.8892,0.0024,-48.1030,0.8570,0.000e+00
central,VELA28,200,1.558,4.0,1,F160W,299.8161,0.0385,300.7185,0.0193,22.5626,0.0024,21.5806,0.0475,1028.10841624,2.262919,1.0814,0.0037,0.4919,0.0011,-89.6285,0.0988,0.000e+00
central,VELA28,200,1.558,4.0,5,F160W,301.2761,0.0354,300.9061,0.0161,22.3401,0.0025,21.2104,0.0514,1010.47194016,2.44871656,1.3470,0.0044,0.4491,0.0011,89.3506,0.0909,0.000e+00
central,VELA28,200,1.558,4.0,6,F160W,300.5608,0.0264,300.9894,0.0187,22.3073,0.0024,17.1936,0.0417,819.10998144,1.98660468,1.4419,0.0040,0.6896,0.0015,-87.9966,0.2137,0.000e+00
central,VELA28,200,1.558,4.0,7,F160W,301.2389,0.0401,301.3326,0.0162,22.4454,0.0026,22.5495,0.0577,1074.2671998,2.74885108,1.3274,0.0033,0.4041,0.0010,-89.5093,0.0815,0.000e+00
central,VELA28,200,1.558,4.0,8,F160W,301.2957,0.0411,301.2813,0.0166,22.4312,0.0026,22.8090,0.0581,1086.6298836,2.76790724,1.2818,0.0038,0.4007,0.0010,-89.5351,0.0815,0.000e+00
other,VELA28,210,1.676,3.7619047619,0,F160W,367.3207,0.1442,336.3804,0.0612,28.4183,0.0963,127.3790,56.3500,6372.4274467,2819.038355,19.9983,4.6563,0.0500,0.0020,64.0555,0.1118,0.000e+00
central,VELA28,210,1.676,3.7619047619,0,F160W,300.8772,0.0297,300.1618,0.0313,22.2051,0.0026,17.1562,0.0502,858.27836426,2.51137046,1.4287,0.0049,0.9162,0.0021,-21.2530,1.1954,0.000e+00
central,VELA28,210,1.676,3.7619047619,1,F160W,297.5457,0.0462,300.0721,0.0196,22.3876,0.0024,24.2036,0.0518,1210.84075828,2.59141414,1.0093,0.0026,0.4414,0.0010,-87.9470,0.0878,0.000e+00
