filename,type,galaxyID,timeStep,age(GYr),redshift(z),camera,filter,px(pixels),errpx(pixels),py(pixels),errpy(pixels),mag,errmag,rad(pixels),errrad(pixels),rad(kpc),errrad(kpc),sersicIndex(n),errsersicIndex(n),b/a,errb/a,angle(deg),errangle(deg),rff,sky
string,enum,enum,numeric,numeric,numeric,enum,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
VELA28_a0.200_0004988__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,0,F160W,299.8439,0.0254,300.1331,0.0231,22.3782,0.0030,17.5238,0.0574,17.5238,0.0574,1.5427,0.0048,0.8892,0.0024,-48.1030,0.8570,0.37599499899,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,1,F160W,299.8161,0.0385,300.7185,0.0193,22.5626,0.0024,21.5806,0.0475,21.5806,0.0475,1.0814,0.0037,0.4919,0.0011,-89.6285,0.0988,0.436203286235,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA5-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,5,F160W,301.2761,0.0354,300.9061,0.0161,22.3401,0.0025,21.2104,0.0514,21.2104,0.0514,1.3470,0.0044,0.4491,0.0011,89.3506,0.0909,0.357490723505,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA6-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,6,F160W,300.5608,0.0264,300.9894,0.0187,22.3073,0.0024,17.1936,0.0417,17.1936,0.0417,1.4419,0.0040,0.6896,0.0015,-87.9966,0.2137,0.429285151494,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA7-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,7,F160W,301.2389,0.0401,301.3326,0.0162,22.4454,0.0026,22.5495,0.0577,22.5495,0.0577,1.3274,0.0033,0.4041,0.0010,-89.5093,0.0815,0.326237237776,0.000e+00
VELA28_a0.200_0004988__skipir_CAMERA8-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,200,1.558,4.0,8,F160W,301.2957,0.0411,301.2813,0.0166,22.4312,0.0026,22.8090,0.0581,22.809,0.0581,1.2818,0.0038,0.4007,0.0010,-89.5351,0.0815,0.424404791041,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,other,VELA28,210,1.676,3.7619047619,0,F160W,367.3207,0.1442,336.3804,0.0612,28.4183,0.0963,127.3790,56.3500,127.379,56.35,19.9983,4.6563,0.0500,0.0020,64.0555,0.1118,0.669241905758,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA0-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,0,F160W,300.8772,0.0297,300.1618,0.0313,22.2051,0.0026,17.1562,0.0502,17.1562,0.0502,1.4287,0.0049,0.9162,0.0021,-21.2530,1.1954,0.425536678873,0.000e+00
VELA28_a0.210_0004927__skipir_CAMERA1-BROADBAND_F160W_simulation_single_multi.fits,central,VELA28,210,1.676,3.7619047619,1,F160W,297.5457,0.0462,300.0721,0.0196,22.3876,0.0024,24.2036,0.0518,24.2036,0.0518,1.0093,0.0026,0.4414,0.0010,-87.9470,0.0878,0.494579357108,0.000e+00
